,band_combo,banded,bird,get_banded_display,get_life_stage_guess_display,get_sex_guess_display,id,life_stage_guess,revisit,sex_guess,sighting,sighting__date_sighted,sighting__point_location,sighting__time_sighted
0,,unbanded,,Not banded,,,8578,,False,,4096,2019-09-22,"{'type': 'Point', 'coordinates': [170.07434033583917, -43.7129607308915]}",11:15:00
1,White 5 on red band,readable,,"Banded, readable",,,8573,,False,,4093,2019-09-21,"{'type': 'Point', 'coordinates': [171.55994506384013, -42.90749045139482]}",12:44:00
2,White 5 on red,readable,,"Banded, readable",,,8577,,False,,4095,2019-09-21,"{'type': 'Point', 'coordinates': [171.55961150752734, -42.90857179937553]}",12:30:00
3,Red band white letter A,readable,,"Banded, readable",,,8580,,False,,4098,2019-09-21,"{'type': 'Point', 'coordinates': [171.71746175009793, -42.969757047808436]}",11:00:00
4,Black 2 on Yellow,readable,,"Banded, readable",Adult,Male,8579,adult,False,male,4097,2019-09-20,"{'type': 'Point', 'coordinates': [171.53284526329236, -42.92095962422315]}",11:30:00
5,,unbanded,,Not banded,,,8559,,False,,4084,2019-09-20,"{'type': 'Point', 'coordinates': [167.61905476178936, -45.385259209114054]}",09:29:00
6,,unbanded,,Not banded,,,8562,,False,,4084,2019-09-20,"{'type': 'Point', 'coordinates': [167.61905476178936, -45.385259209114054]}",09:29:00
7,,unbanded,,Not banded,,,8560,,False,,4084,2019-09-20,"{'type': 'Point', 'coordinates': [167.61905476178936, -45.385259209114054]}",09:29:00
8,,unbanded,,Not banded,,,8561,,False,,4084,2019-09-20,"{'type': 'Point', 'coordinates': [167.61905476178936, -45.385259209114054]}",09:29:00
9,,unbanded,,Not banded,,,8563,,False,,4084,2019-09-20,"{'type': 'Point', 'coordinates': [167.61905476178936, -45.385259209114054]}",09:29:00
10,,unknown,,Couldn't tell,,,8572,,False,,4092,2019-09-20,"{'type': 'Point', 'coordinates': [172.33963, 42.60503]}",08:09:00
11,,unknown,,Couldn't tell,,,8575,,False,,4094,2019-09-20,"{'type': 'Point', 'coordinates': [168.10626562331498, -44.80876705610232]}",07:15:00
12,,unbanded,,Not banded,,,8574,,False,,4094,2019-09-20,"{'type': 'Point', 'coordinates': [168.10626562331498, -44.80876705610232]}",07:15:00
13,,unknown,,Couldn't tell,,,8576,,False,,4094,2019-09-20,"{'type': 'Point', 'coordinates': [168.10626562331498, -44.80876705610232]}",07:15:00
14,,unbanded,,Not banded,Adult,Male,8551,adult,False,male,4081,2019-09-19,"{'type': 'Point', 'coordinates': [171.6417492878129, -43.03597322613901]}",20:31:00
15,White AZ on Red,readable,,"Banded, readable",Fledgling,Male,8571,fledgling,False,male,4091,2019-09-19,"{'type': 'Point', 'coordinates': [171.56104217390248, -42.937166972403205]}",20:00:00
16,White 8 on Green,readable,,"Banded, readable",Fledgling,Female,8570,fledgling,False,female,4091,2019-09-19,"{'type': 'Point', 'coordinates': [171.56104217390248, -42.937166972403205]}",20:00:00
17,,unknown,,Couldn't tell,,,8549,,False,,4079,2019-09-19,"{'type': 'Point', 'coordinates': [171.56191205616472, -42.94176203765747]}",09:56:00
18,Dark blue band white AA,readable,,"Banded, readable",Juvenile,,8556,juvenile,False,,4083,2019-09-19,"{'type': 'Point', 'coordinates': [167.61655400115404, -45.385044364525605]}",08:25:00
19,Green band Black 5,readable,,"Banded, readable",Juvenile,,8557,juvenile,False,,4083,2019-09-19,"{'type': 'Point', 'coordinates': [167.61655400115404, -45.385044364525605]}",08:25:00
20,Light blue band Black I,readable,,"Banded, readable",,,8558,,False,,4083,2019-09-19,"{'type': 'Point', 'coordinates': [167.61655400115404, -45.385044364525605]}",08:25:00
21,,unknown,,Couldn't tell,,,8566,,False,,4089,2019-09-19,"{'type': 'Point', 'coordinates': [172.7493819642849, -40.79684483467787]}",05:00:00
22,White T on Green,readable,,"Banded, readable",Adult,Male,8568,adult,False,male,4090,2019-09-18,"{'type': 'Point', 'coordinates': [171.5607266235238, -42.93692019303097]}",19:15:00
23,Black 7 on White,readable,,"Banded, readable",Sub-Adult,Male,8567,sub-adult,False,male,4090,2019-09-18,"{'type': 'Point', 'coordinates': [171.5607266235238, -42.93692019303097]}",19:15:00
24,Black 4 on Pink,readable,,"Banded, readable",Fledgling,,8569,fledgling,False,,4090,2019-09-18,"{'type': 'Point', 'coordinates': [171.5607266235238, -42.93692019303097]}",19:15:00
25,,unknown,,Couldn't tell,Adult,,8564,adult,False,,4088,2019-09-18,"{'type': 'Point', 'coordinates': [172.66089386873392, -41.019815862204304]}",18:30:00
26,,unknown,,Couldn't tell,Adult,,8565,adult,False,,4088,2019-09-18,"{'type': 'Point', 'coordinates': [172.66089386873392, -41.019815862204304]}",18:30:00
27,Black AS on Yellow (Cheiroso!),readable,,"Banded, readable",Juvenile,Male,8543,juvenile,False,male,4078,2019-09-18,"{'type': 'Point', 'coordinates': [167.93794410157386, -44.677548372481304]}",09:30:00
28,,unbanded,,Not banded,Juvenile,,8548,juvenile,False,,4078,2019-09-18,"{'type': 'Point', 'coordinates': [167.93794410157386, -44.677548372481304]}",09:30:00
29,,unbanded,,Not banded,Juvenile,,8546,juvenile,False,,4078,2019-09-18,"{'type': 'Point', 'coordinates': [167.93794410157386, -44.677548372481304]}",09:30:00
30,White A6 on Blue,readable,,"Banded, readable",Juvenile,Male,8544,juvenile,False,male,4078,2019-09-18,"{'type': 'Point', 'coordinates': [167.93794410157386, -44.677548372481304]}",09:30:00
