,band_combo,description,is_featured,full_size,large,thumbnail,profile_picture_attribution,sponsor_name,sponsor_website,birthday,date_imported,date_modified,get_age,get_life_stage,name,primary_band,sex,slug,status,study_area,colours,date_deployed,special,style,symbols
1,White C on Orange,"Two kea were caught together at Red Tarns on the slopes of Mt Sebastapol in mid-March 2019. These two young birds, most likely brother and sister, were named Scotty and Adriana after a wonderful couple from the area who have been heavily involved in conservation for many years. 

Scott Theobold died tragically in a helicopter accident in Oct 2018, along with two others (Paul Hondelink and pilot Nick Wallis). We dedicate this to Scotty, Adriana and their family and recognise that what Scott has achieved in conservation progress has been tremendous. His work includes pioneering the use of predator detection dogs in NZ. His first work was training dogs to detect stoats - one of the kea's biggest predators. 

Adriana came to help out with some kea catching with us and Corey Mosen (the kea guru) at Red Tarns a year or so back, and was one of the most wonderful, enthusiastic, positive people you will ever meet. Our thoughts and best wishes are with Adriana and family and long may you continue with your good work. Kia kaha.",False,https://media.keadatabase.nz/media/birds/adriana/Two_kea_on_rock_Aoraki.jpg,https://media.keadatabase.nz/media/__sized__/birds/adriana/Two_kea_on_rock_Aoraki-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/adriana/Two_kea_on_rock_Aoraki-crop-c0-5__0-5-350x250-70.jpg,Clio Reid,,,2019-01-01,2019-04-17T15:21:42+12:00,2019-04-17T15:21:43.226481+12:00,0,Fledgling,Adriana,V-2103,Female,adriana,Alive,Aoraki,"['white', 'orange']",2019-03-14,,new,['C']
2,Yellow * on Black,Alwyn hangs out mostly at Deaths Corner and Candys Bend. She was banded by Corey Mosen in August 2016. We expect her to start nesting in the next couple of years. She is the current bird on the home page  of the Kea Database!,False,https://media.keadatabase.nz/media/birds/alwyn/Alwyn_3_yr_female.jpg,https://media.keadatabase.nz/media/__sized__/birds/alwyn/Alwyn_3_yr_female-crop-c0-49__0-23-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/alwyn/Alwyn_3_yr_female-crop-c0-49__0-23-350x250-70.jpg,,,,2014-01-01,2017-06-28T00:21:16.578236+12:00,2018-04-04T11:00:21.744572+12:00,5,Adult,Alwyn,V-2626,Female,alwyn,Alive,Waimakariri,"['yellow', 'black']",2016-08-09,,new,['*']
3,x / x - Metal / x,"Angelina has a thick steel band. Angelina was hatched at Willowbank. Her Father Johnny and brother Cheeky live at Willowbank as well. Female kea tend to be less outgoing than male kea, so Angelina is likely to be perched up high away from the bossy males. She is not afraid to push them around though and will chase the boys away from food.",False,https://media.keadatabase.nz/media/birds/angelina/angelina_4.jpg,https://media.keadatabase.nz/media/__sized__/birds/angelina/angelina_4-crop-c0-49__0-3-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/angelina/angelina_4-crop-c0-49__0-3-350x250-70.jpg,Willowbank,,,2006-10-22,2017-10-13T11:09:52+13:00,2017-10-13T11:09:53.273620+13:00,12,Adult,Angelina,,Female,angelina,Alive,Willowbank,['metal'],2017-10-13,,old,[]
4,White S on Red,"Anthea is one of the earlier birds banded with the new letter/colour bands. She was banded in September 2013 by Tom Goodman at Porters Ski Area. 

She has just recently been sighted in 2017 at the same place!",False,https://media.keadatabase.nz/media/birds/anthea/IMG_8642.JPG,https://media.keadatabase.nz/media/__sized__/birds/anthea/IMG_8642-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/anthea/IMG_8642-crop-c0-5__0-5-350x250-70.JPG,Laura Young,,,2009-01-01,2017-06-28T00:21:16.886547+12:00,2018-04-04T11:00:21.939765+12:00,10,Adult,Anthea,V-1299,Female,anthea,Alive,Waimakariri,"['white', 'red']",2013-09-13,,new,['S']
5,Yellow B on Black,"Aphrodite is a female kea at Nelson Lakes National Park. In October 2017 she had three gorgeous fluffy little chicks. Here's hoping they all fledge and reach adulthood.

Update: In November 2018 she had another three chicks (in photo). Crossing fingers for them as well.",False,https://media.keadatabase.nz/media/birds/aphrodite/46485271_2038399206239970_2015870967988879360_n.jpg,https://media.keadatabase.nz/media/__sized__/birds/aphrodite/46485271_2038399206239970_2015870967988879360_n-crop-c0-34__0-49-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/aphrodite/46485271_2038399206239970_2015870967988879360_n-crop-c0-34__0-49-350x250-70.jpg,Corey Mosen,,,2007-01-01,2017-06-28T00:21:16.962504+12:00,2018-04-04T11:00:22.004566+12:00,12,Adult,Aphrodite,V-1251,Female,aphrodite,Alive,Rotoiti,"['yellow', 'black']",2011-01-13,,new,['B']
6,Black L on Pink,"This kea is named 'Aristotelia' after a wonderful genus of plant that grows in New Zealand. We have two species, Aristotelia serrata (which grows into a small tree and has large leaves) and Aristotelia fruticosa, a small leaved montane shrub, which is what was considered when naming this kea. 

Kea love feeding on the fruits of montane and alpine plants, especially with juicy attractive berries like this one. They are the most important seed dispersers for a range of these plants and the NZ flora might well suffer in the long term if kea are in decline. Aristotelia's pink bands match the fruit of this beautiful plant too. 

The plant genus 'Aristotelia' is named after the ancient Greek philosopher Aristotle, while Nestor (the genus that kea and kaka are in) means wise, and this presumably came from Nestor of Gerenia, the wise King of Pylos, described in Homer's 'Odyssey'.",False,https://media.keadatabase.nz/media/birds/aristotelia/AristoteliafruticosaPP.jpg,https://media.keadatabase.nz/media/__sized__/birds/aristotelia/AristoteliafruticosaPP-crop-c0-5__0-5-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/aristotelia/AristoteliafruticosaPP-crop-c0-5__0-5-350x250-70.jpg,Pieter Pelser,,,2019-01-01,2019-04-18T00:07:37+12:00,2019-08-18T01:52:43.354454+12:00,0,Fledgling,Aristotelia,V-2969,Male,aristotelia,Alive,Waimakariri,"['pink', 'black']",2019-03-06,,new,['L']
7,x / Metal - Purple / Orange,Arnie is sometimes found around Lake Rotoiti. The picture was taken at the Lakehead Hut Wharf in 2014.,False,https://media.keadatabase.nz/media/birds/arnie/arnie.JPG,https://media.keadatabase.nz/media/__sized__/birds/arnie/arnie-crop-c0-5__0-5-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/arnie/arnie-crop-c0-5__0-5-350x250-70.JPG,George Moon,,,2005-01-01,2017-06-28T00:21:17.094274+12:00,2018-04-04T11:00:22.173583+12:00,14,Adult,Arnie,V-0321,Male,arnie,Alive,Rotoiti,"['metal', 'orange', 'purple']",2009-08-24,,old,[]
8,Black K on White,"Aroha was banded by Laura Young during the kea summer survey in the Hawdon Valley in 2015. Because she was an adult female, a transmitter was attached so she could be followed (along with others in the valley) to understand what kea breeding success is like, what the threats to kea are and much more (ongoing work by DOC and KCT, carried out by the kea team).  In November 2015 Aroha's nest cavity was located. A trail camera was put outside her cavity but unfortunately the nest failed early on - almost certainly due to stoat predation. Aroha did not appear to nest in 2016. 

Aroha is still regularly monitored so stay tuned during the 2017-2018 breeding season and we will report back with findings.

Aroha's name comes from the Māori word for love.",False,https://media.keadatabase.nz/media/birds/aroha/Aroha.JPG,https://media.keadatabase.nz/media/__sized__/birds/aroha/Aroha-crop-c0-52__0-26-500x500-70.JPG,https://media.keadatabase.nz/media/__sized__/birds/aroha/Aroha-crop-c0-52__0-26-350x250-70.JPG,,,,2010-01-01,2017-06-28T00:21:17.123029+12:00,2018-04-04T11:00:22.219959+12:00,9,Adult,Aroha,V-2699,Female,aroha,Alive,Waimakariri,"['white', 'black']",2015-02-21,,new,['K']
9,Red A on White,"Arthur lives at Orana Wildlife Park in Christchurch. He is one of Blue and Pūihi’s four chicks and has one older brother Tiki who was born in 2012, and two siblings Lewis and Holly from the same clutch of eggs. He was named after Arthur’s Pass.
Arthur’s favourite thing to do is throwing pine cones into the pond in order to make a big splash. On warm days he can sometimes even be seen swimming in the water with his wings outstretched.
Arthur plays an important role in conservation advocacy, educating visitors on appropriate behaviour around his wild cousins, such as keeping belongings secure to prevent kea from accessing them.",False,https://media.keadatabase.nz/media/birds/arthur-o/Arthur_O.jpg,https://media.keadatabase.nz/media/__sized__/birds/arthur-o/Arthur_O-crop-c0-4__0-32-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/arthur-o/Arthur_O-crop-c0-4__0-32-350x250-70.jpg,Orana Park,,,2014-10-09,2017-10-13T16:13:11+13:00,2017-10-13T16:13:14.627983+13:00,4,Adult,Arthur O,,Male,arthur-o,Alive,Orana Park,"['red', 'white']",2017-09-07,,new,['A']
10,White AA on Orange,Arthur the Advocacy kea can be found in Te Anau at the Department of Conservation....,False,https://media.keadatabase.nz/media/birds/arthur-the-advocacy-kea/Arthur_the_Advocacy_kea_V0000_White_AA_on_Orange.jpg,https://media.keadatabase.nz/media/__sized__/birds/arthur-the-advocacy-kea/Arthur_the_Advocacy_kea_V0000_White_AA_on_Orange-crop-c0-49__0-76-500x500-70.jpg,https://media.keadatabase.nz/media/__sized__/birds/arthur-the-advocacy-kea/Arthur_the_Advocacy_kea_V0000_White_AA_on_Orange-crop-c0-49__0-76-350x250-70.jpg,Jamie McAulay,,,2019-01-01,2019-09-12T13:41:45+12:00,2019-09-12T13:41:48.312063+12:00,0,Fledgling,Arthur the Advocacy kea,V-0000,Male,arthur-the-advocacy-kea,Alive,Fiordland,"['white', 'orange']",2019-09-12,,new,['AA']
